kawasan,negeri,kodparlimen,namaparlimen,SPR_order,calon,parti,parti2,verified_handle,id,posts,followers,following,name,pronoun,bio,link,202111_post_count,202112_post_count,202201_post_count,202202_post_count,202203_post_count,202204_post_count,202205_post_count,202206_post_count,202207_post_count,202208_post_count,202209_post_count,202210_post_count,202211_post_count,L12M_active_min_0,L12M_active_min_1,L12M_active_min_5,L12M_active_min_10,L12M_active_min_15,L12M_active_min_20,L12M_active_min_25,L12M_active_min_30,L12M_active_min_35,L12M_active_min_40,L12M_active_min_45,L12M_active_min_50,L12M_active_min_55,L12M_active_min_60,L12M_active_min_65,L12M_active_min_70,L12M_active_min_75,L12M_active_min_80,L12M_active_min_85,L12M_active_min_90,L12M_active_min_95,L12M_active_min_100,min_monthly_posts,consistency_grade,common_word_top5,hashtag_top3,mentions_top3,location_top3
SEMENANJUNG,W.P KUALA LUMPUR,P.120,BUKIT BINTANG,1,EDWIN CHEN,PERIKATAN NASIONAL (PN),PN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,,,
SEMENANJUNG,W.P KUALA LUMPUR,P.120,BUKIT BINTANG,2,FONG KUI LUN,PAKATAN HARAPAN (PH),PH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,,,
SEMENANJUNG,W.P KUALA LUMPUR,P.120,BUKIT BINTANG,3,TAN TEIK PENG,BARISAN NASIONAL (BN),BN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,,,
SEMENANJUNG,W.P KUALA LUMPUR,P.121,LEMBAH PANTAI,1,DR. ASMAH,PARTI PEJUANG TANAHAIR (PEJUANG),PEJUANG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,,,
SEMENANJUNG,W.P KUALA LUMPUR,P.121,LEMBAH PANTAI,2,HAJI FAUZI ABU BAKAR,PERIKATAN NASIONAL (PN),PN,fauziabubakar_official,7265732066.0,75.0,421.0,518.0,LAr Fauzi Abu Bakar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,D,,,,
SEMENANJUNG,W.P KUALA LUMPUR,P.121,LEMBAH PANTAI,3,FAHMI FADZIL,PAKATAN HARAPAN (PH),PH,fahmifadzil.1,2633263134.0,1309.0,36394.0,478.0,Fahmi Fadzil,,Mantan Ahli Parlimen @lembahpantai (2018-2022) Ketua Penerangan KEADILAN Pengarah Komunikasi Pakatan Harapan,,10.0,13.0,12.0,9.0,4.0,7.0,17.0,8.0,14.0,9.0,11.0,12.0,11.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,C,"harapanutkmalaysia, dipanggil, premis, perkhidmatan, barang","#KitaBoleh x4, #LembahPantaiDiHatiKu x4, #AyuhMalaysia x2","@anwaribrahim_my x4, @hannahyeoh x3, @drwanazizah x2","Parlimen Malaysia x11, Westminster x2, Dewan Rakyat, Parlimen Malaysia x2"
SEMENANJUNG,W.P KUALA LUMPUR,P.121,LEMBAH PANTAI,4,RAMLAN ASKOLANI,BARISAN NASIONAL (BN),BN,ramlan_askolani,25390074818.0,98.0,651.0,140.0,Ramlan Askolani,,-Ketua UMNO Bahagian Lembah Pantai  -Penasihat Majlis Perwakilan Penduduk Zon Lembah Pantai  -Pengerusi Barisan Nasional Lembah Pantai,https://www.facebook.com/raskolani,4.0,4.0,9.0,6.0,0.0,7.0,8.0,8.0,2.0,4.0,11.0,10.0,3.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,D,"tilljannah, hkl, berbahgia, bwfworldchampionships, firdausi","#KeluargaMalaysia x7, #WilayahPrihatin x3, #AgongKita x2",,"Istana Negara x1, Stadium Bolasepak Cheras x1, Flat Seri Pahang,Bangsar x1"
SEMENANJUNG,W.P KUALA LUMPUR,P.122,SEPUTEH,1,LEE KAH HING,BARISAN NASIONAL (BN),BN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,,,
SEMENANJUNG,W.P KUALA LUMPUR,P.122,SEPUTEH,2,WONG YEE YENG,PERIKATAN NASIONAL (PN),PN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,,,
SEMENANJUNG,W.P KUALA LUMPUR,P.122,SEPUTEH,3,CHOY SAN YEH,BEBAS (CERMIN MATA),CERMIN MATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,,,
